
2018-04-05,Freeform Shows,THROWDOWN WITH BOBBY FLAY ,4,3,Chocolate Chip Cookies,{'foodnetwork': ['0144830']}
2018-04-05,Freeform Shows,THROWDOWN WITH BOBBY FLAY ,4,11,Arepas,{'foodnetwork': ['0110103']}
2018-04-05,Freeform Shows,THROWDOWN WITH BOBBY FLAY ,5,2,Mussels and Fries,{'foodnetwork': ['0110105']}
2018-04-05,Freeform Shows,THROWDOWN WITH BOBBY FLAY ,5,4,Paella,{'foodnetwork': ['0189430']}
2018-04-05,Freeform Shows,THROWDOWN WITH BOBBY FLAY ,7,10,Omelets,{'foodnetwork': ['0137227']}
2018-04-05,Freeform Shows,THROWDOWN WITH BOBBY FLAY ,8,6,Huevos Rancheros,{'foodnetwork': ['0148333']}
2018-04-05,Freeform Shows,BAREFOOT CONTESSA ,13,1,Cook Like a Pro: Chicken,{'foodnetwork': ['0270256']}
2018-04-05,Freeform Shows,BAREFOOT CONTESSA ,13,4,Cook Like a Pro: Fearless Food,{'foodnetwork': ['0270259']}
2018-04-05,Freeform Shows,BAREFOOT CONTESSA ,13,5,Cook Like a Pro: Eggs,{'foodnetwork': ['bx1305-perfect-scrambled-eggs']}
2018-04-05,Freeform Shows,BAREFOOT CONTESSA ,13,7,Cook Like a Pro: Chocolate,{'foodnetwork': ['0270262']}
2018-04-05,Freeform Shows,BEAT BOBBY FLAY ,5,6,Rollin' Deep,{'foodnetwork': ['0236231']}
2018-04-05,Freeform Shows,BEAT BOBBY FLAY ,7,3,A Feather in Your Cap,{'foodnetwork': ['0244616']}
2018-04-05,Freeform Shows,BEAT BOBBY FLAY ,8,1,Turning the Tables,{'foodnetwork': ['0249268']}
2018-04-05,Freeform Shows,BEAT BOBBY FLAY ,8,6,Just Act Natural,{'foodnetwork': ['0249273']}
2018-04-05,Freeform Shows,BEAT BOBBY FLAY ,8,11,Ring of Fire,{'foodnetwork': ['0249278']}
2018-04-05,Freeform Shows,BEAT BOBBY FLAY ,11,8,Roll With the Punches,{'foodnetwork': ['0255001']}
2018-04-05,Freeform Shows,BEAT BOBBY FLAY ,11,9,Steak Me Home Tonight,{'foodnetwork': ['0255002']}
2018-04-05,Freeform Shows,BEAT BOBBY FLAY ,11,10,Sweet But Sour,{'foodnetwork': ['0255042']}
2018-04-05,Freeform Shows,BEAT BOBBY FLAY ,11,11,Thrown From the Throne,{'foodnetwork': ['0255043']}
2018-04-05,Freeform Shows,BEAT BOBBY FLAY ,11,12,I Thought We Were Friends,{'foodnetwork': ['0254985']}
2018-04-05,Freeform Shows,BEAT BOBBY FLAY ,11,13,Both Sides of the Coin,{'foodnetwork': ['0255003']}
2018-04-05,Freeform Shows,CAKE MASTERS ,1,3,Monster Truck Cake,{'foodnetwork': ['0252048']}
2018-04-05,Freeform Shows,CAKE WARS ,4,1,Powerpuff Girls,{'foodnetwork': ['0255004']}
2018-04-05,Freeform Shows,CAKE WARS ,4,3,Roald Dahl,{'foodnetwork': ['0255005']}
2018-04-05,Freeform Shows,CAKE WARS ,4,4,The Addams Family,{'foodnetwork': ['0254986']}
2018-04-05,Freeform Shows,CAKE WARS ,4,5,Magic,{'foodnetwork': ['0255019']}
2018-04-05,Freeform Shows,CAKE WARS ,4,7,Transformers,{'foodnetwork': ['0256986']}
2018-04-05,Freeform Shows,CAKE WARS ,4,8,Space Jam,{'foodnetwork': ['0255007']}
2018-04-05,Freeform Shows,CAKE WARS ,4,9,Monopoly,{'foodnetwork': ['0254987']}
2018-04-05,Freeform Shows,CAKE WARS ,4,10,Rose Bowl,{'foodnetwork': ['0255020']}
2018-04-05,Freeform Shows,CAKE WARS ,4,11,Happy Feet,{'foodnetwork': ['0255008']}
2018-04-05,Freeform Shows,CAKE WARS ,4,12,Teenage Mutant Ninja Turtles,{'foodnetwork': ['0255021']}
2018-04-05,Freeform Shows,CAKE WARS ,4,13,Rugrats,{'foodnetwork': ['0255009']}
2018-04-05,Freeform Shows,CUPCAKE WARS ,1,6,Good Cause Cupcakes,{'foodnetwork': ['0149313']}
2018-04-05,Freeform Shows,CUPCAKE WARS ,5,2,Cowboy Cupcakes,{'foodnetwork': ['0186715']}
2018-04-05,Freeform Shows,DINNER: IMPOSSIBLE ,5,3,Boardwalk,{'foodnetwork': ['0112684']}
